init,member,verifying,patterns,REOF1,REOF2,REOF3,REOF4,REOF5,REOF6,REOF7,REOF8,REOF9,REOF10
20260630,ens1,202607,JJA,0.43301,0.15290,0.23960,1.09459,2.49754,-0.39280,0.60921,0.53596,0.90734,-0.63498
20260630,ens1,202608,JJA,-0.83003,-0.53909,0.33988,0.55799,2.63116,0.31538,0.69495,0.71265,1.29423,0.32137
20260630,ens10,202606,JJA,-0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,-0.00000,0.00000,-0.00000
20260630,ens10,202607,JJA,0.09567,1.18337,1.23245,1.15342,1.90164,-0.61562,0.29461,0.13704,0.93856,-0.21296
20260630,ens10,202608,JJA,-1.12873,-0.88795,-0.55771,-0.12185,2.36405,0.61473,0.81215,0.17518,0.82270,0.08654
20260630,ens11,202606,JJA,-0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,-0.00000,0.00000,-0.00000
20260630,ens11,202607,JJA,0.39785,1.37357,0.92305,1.49057,1.40367,0.34823,1.22277,0.15201,1.19930,-0.67119
20260630,ens11,202608,JJA,-0.83470,-0.01891,1.74948,1.15421,0.20298,0.24014,1.26598,-1.33240,0.95638,0.62179
20260630,ens12,202606,JJA,-0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,-0.00000,0.00000,-0.00000
20260630,ens12,202607,JJA,-0.44490,-0.21266,-0.24005,1.46675,1.73692,-1.15568,0.92392,0.55961,0.17886,-0.60733
20260630,ens12,202608,JJA,-0.31960,-0.29610,0.41333,0.93732,2.20606,-0.39553,1.13987,0.66376,1.65727,-0.40117
20260630,ens13,202606,JJA,-0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,-0.00000,0.00000,-0.00000
20260630,ens13,202607,JJA,0.30837,0.88163,-0.10639,1.60781,1.30774,0.32344,1.47396,1.34611,0.49041,0.10670
20260630,ens13,202608,JJA,-0.79117,-1.16236,0.09114,0.56968,0.55612,-0.95621,2.13282,0.66492,-0.02607,0.39009
20260630,ens14,202606,JJA,-0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,-0.00000,0.00000,-0.00000
20260630,ens14,202607,JJA,-0.01056,1.64557,1.13443,1.32394,2.31899,-0.30842,1.17025,0.58812,1.32227,-1.15552
20260630,ens14,202608,JJA,-0.79403,-0.07030,0.05315,-0.37215,1.92704,1.63059,1.32305,-0.09718,1.72004,-1.33705
20260630,ens15,202606,JJA,-0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,-0.00000,0.00000,-0.00000
20260630,ens15,202607,JJA,-0.15784,0.40037,-0.01416,1.49126,0.71295,-1.04437,0.99228,1.00276,0.81843,-0.23737
20260630,ens15,202608,JJA,0.10928,0.71152,1.17449,0.43561,1.32021,0.04852,1.05162,0.08757,0.72114,-1.51813
20260630,ens2,202606,JJA,-0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,-0.00000,0.00000,-0.00000
20260630,ens2,202607,JJA,-0.98005,-0.74505,-1.07417,0.25707,1.15188,0.44714,0.27882,1.95368,0.35791,0.13877
20260630,ens2,202608,JJA,-0.22711,-0.12035,0.68392,-0.36569,0.13467,-0.52742,1.89535,-1.52702,1.03050,0.93618
20260630,ens3,202606,JJA,-0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,-0.00000,0.00000,-0.00000
20260630,ens3,202607,JJA,-0.17439,-1.13543,-0.83123,0.71852,2.14664,0.29920,0.40223,1.16865,0.94207,0.99171
20260630,ens3,202608,JJA,-0.95574,-0.03477,0.85028,0.44803,1.60950,1.14352,1.44343,0.48180,0.97941,0.78178
20260630,ens4,202606,JJA,-0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,-0.00000,0.00000,-0.00000
20260630,ens4,202607,JJA,0.49037,0.22344,0.09163,0.71235,1.96023,0.89064,0.91027,-0.04432,2.17943,-0.56688
20260630,ens4,202608,JJA,-0.69831,0.89593,1.15026,0.27010,0.45041,0.81123,2.06404,-0.30933,1.50365,-0.03577
20260630,ens4,202609,SON,-0.12556,1.27020,-0.53851,0.38573,-0.63898,0.16053,-0.30959,-0.88610,0.31747,-0.61241
20260630,ens4,202610,SON,0.25868,0.66548,0.09343,-0.76644,0.07609,0.07617,0.50546,-0.64663,-0.01915,-1.22755
20260630,ens4,202611,SON,-0.25502,-1.29711,0.49412,-0.70656,-0.02183,-0.90099,-0.51217,0.91465,0.73982,-1.39815
